,mean_load,peak_load,load_factor,cv,night_ratio,weekend_ratio,cluster
MT_124,275.8683277789262,446.17224880382776,0.6183000590433841,0.43650180175314746,0.9161521380702936,1.1903980285265563,Medium
MT_156,72.75363238185514,84.90174672489086,0.8569156134985121,0.0884534782708702,0.9995944632613577,0.993110571418752,Medium
MT_158,86.25450485140249,184.131016042781,0.4684409324682275,0.6770509933180342,0.8372921706937139,0.31587002519968393,Low
MT_159,96.6757565266658,143.29980842911874,0.6746398169435455,0.4814346388109645,0.7913716432073563,0.5362402686719014,Low
MT_161,2110.2509717108906,2344.9074074074074,0.8999293383801626,0.07430194203460301,1.0260846869791478,0.9465457106691505,Medium
MT_162,333.7765823711291,555.0636267232237,0.6013303093585036,0.4831402960113161,0.8082367833268185,0.5543271020019424,Low
MT_163,2616.648106153188,3213.133640552995,0.8143601850630934,0.12562865025834147,0.9504183875272719,0.9805639687679453,Medium
MT_166,1434.4857352576005,1859.6071428571431,0.7713918183028828,0.28328567461824417,0.7058698259499354,0.9876450656381095,Medium
MT_168,138.45459347198732,200.1898984198647,0.6916162831633096,0.3971708196997989,0.5163601962398722,0.9937064504335394,Medium
MT_169,39.715873965449575,54.9293948126801,0.7230349815592984,0.31950667100895896,0.6249781389301602,0.9792298815263908,Medium
MT_171,246.4204339049143,331.3519637462237,0.7436818273805165,0.29004062132803476,0.6539607108007933,0.9888703971970794,Medium
MT_172,126.5218709898762,187.74066002490633,0.6739183242089986,0.3473607835099961,0.5982383161095601,1.007931590723308,Medium
MT_174,120.74367544208461,158.73271889400925,0.7606728863676108,0.2562755945850829,0.701192382795211,0.972417380784758,Medium
MT_175,145.68099490306818,219.486019736842,0.6637370119415164,0.37375569238478734,0.5637653496459175,1.0003681036857328,Medium
MT_176,81.00934270224808,122.06343283582075,0.6636659384404522,0.3707088703375785,0.5702328082554249,0.9739321989997746,Medium
MT_180,163.4264877444413,237.05109204368156,0.689414616636006,0.32985683487689277,0.632743294704547,0.9374800195843981,Medium
MT_182,53.795977127955446,72.41710875331563,0.7428628131400287,0.2508619187239538,0.7265314574870391,0.9826902416674415,Medium
MT_183,88.74022293441519,129.79604289940812,0.6836897408589631,0.35183882370134467,0.605601871798005,1.0047198471315415,Medium
MT_187,22.641326248325733,60.02982848620432,0.377167931664656,0.849480750368318,0.47065864724641504,0.39907111803561646,Low
MT_188,30.51621779241241,38.532329988851714,0.7919639897520199,0.21109227895818322,0.7484495175770249,0.9892253430547479,Medium
MT_189,428.5519291434118,588.9392744479494,0.7276674314938855,0.28184072965404844,0.7452650374338728,0.9838848883914839,Medium
MT_190,413.3816323608635,542.33137829912,0.7622307115205585,0.23601186054534407,0.7879847412585212,0.9838490537611421,Medium
MT_191,1918.305397831366,2458.6330935251776,0.7802324807565768,0.27048527571492065,0.7370854955427542,0.9676023235493604,Medium
MT_192,448.8145569019585,613.5346756152126,0.7315227235557901,0.28388358563312677,0.7173899628190726,0.9896160228825959,Medium
MT_193,358.82559218486136,485.4178044784269,0.7392097876805597,0.24979070752304483,0.7603279342133495,0.9850596664763019,Medium
MT_194,3218.9781492660527,4363.029661016948,0.7377850712378067,0.24340494516879194,0.7670806683403183,0.9689640893157353,Medium
MT_195,483.0079098906024,656.0913705583757,0.7361900057907053,0.31456505168733884,0.6864175971545525,0.9737786560662322,Medium
MT_196,22704.083001600124,31118.749999999975,0.7295949548616234,0.31224007256364644,0.6685103664684113,0.9783585519734479,High
MT_197,153.2682369859237,220.8837365591398,0.6938864733705162,0.3154079998758075,0.6658237798637978,0.9995084345545913,Medium
MT_198,272.9240150971765,359.7087378640777,0.7587361283403287,0.2792555925409605,0.7396068715705301,0.9931159912688997,Medium
MT_199,486.10797258018255,726.6915137614677,0.6689330525741418,0.2757269176817293,0.7662259348218244,0.9929945143144455,Medium
MT_200,882.0471493552478,1260.1872246696043,0.6999334163116142,0.31512824252230803,0.6897435577980704,1.0125805804284502,Medium
MT_201,280.33617045290737,365.555906506633,0.7668763257907328,0.25326940202828724,0.7361934050851388,1.0111502461919957,Medium
MT_202,253.2495947467972,341.66197183098564,0.7412285112961751,0.25226847445405365,0.7669821263044457,1.016660415553265,Medium
MT_203,582.7930236569212,834.5967741935484,0.6982929262098582,0.29583439670524986,0.7448703616111295,0.9684493750963625,Medium
MT_204,871.9984988999505,1245.335820895522,0.7002115287046796,0.2933915958432322,0.7239794118220295,0.9637740744982065,Medium
MT_205,551.2326261760322,752.6483050847457,0.732390709514672,0.29671015171856374,0.6917029042769879,1.0152154753485254,Medium
MT_206,218.080033201485,311.7124856815577,0.6996191786307634,0.34691764129487784,0.6238423886915875,0.9853754032074352,Medium
MT_207,823.5319113009915,1154.3197278911557,0.7134348408005765,0.30848829946052087,0.6954148404469149,0.983803127425339,Medium
MT_208,7157.091252377312,10399.15966386555,0.6882374618447675,0.2953274163156545,0.7240195992032465,0.9889281393298137,Medium
MT_209,537.6064031217071,718.75,0.7479741260823751,0.30930571496878756,0.6879223042761408,0.9883714461895657,Medium
MT_210,792.5225852378875,1092.3772609819118,0.725502638644737,0.30263181353234964,0.6791117376333942,0.9976764344291914,Medium
MT_211,195.2936717012059,268.67499999999995,0.7268769766491335,0.2953046239709662,0.7139368378664372,0.9854531132290839,Medium
MT_212,376.92205585642984,534.8449612403099,0.7047314327919337,0.28670580476815777,0.7367280913379782,0.9814256957583133,Medium
MT_213,1425.07811624978,1804.0672451193054,0.7899251649877039,0.2141194555341231,0.7993224932470933,1.00260520182609,Medium
MT_214,394.2720818784486,535.0560081466394,0.736880019802325,0.3192821123861525,0.6625493964613526,0.968040509008117,Medium
MT_215,427.4731151624592,574.0584935897435,0.7446507976728186,0.3043761460060736,0.6956812115270072,0.9739285656183945,Medium
MT_216,2178.5265988834008,2945.5149501661112,0.7396080603021701,0.27259179582034526,0.7571697092146261,0.9883688688351918,Medium
MT_217,209.33393715534672,305.0795053003532,0.6861619135944769,0.35249494029992634,0.6442321727054161,0.9992334025119681,Medium
MT_218,1426.1120993389166,1893.998109640832,0.7529638451483762,0.28357259431163173,0.7202394236877694,0.9788343161070462,Medium
MT_219,399.6270361935408,536.0215053763443,0.7455429160681901,0.31281196819011425,0.6526650404273618,0.9881040054652193,Medium
MT_220,2835.274454270466,4075.94936708861,0.6956108133148033,0.39935181358898886,0.5410525788982671,0.9786564866297,Medium
MT_221,157.62691895984344,225.923997917751,0.6976988740135011,0.35158521860542813,0.5992927662456154,1.0030461315297714,Medium
MT_222,899.3635405690201,1292.8333333333328,0.6956531189137711,0.32614434517584684,0.6954753672292399,0.9968658594468577,Medium
MT_223,732.942746750966,940.4666666666661,0.7793394202356628,0.25225556061702364,0.7450230564683139,0.9876873055496069,Medium
MT_225,337.7613551277768,439.4836585365854,0.7685413292782522,0.27282895569269217,0.7253095254761658,1.0069491999318017,Medium
MT_226,516.3227634985501,682.3118696664081,0.7567254600905412,0.2293726158797874,0.7882743695807118,0.9956930625129783,Medium
MT_227,275.6693075498196,365.6601842374617,0.7538947892964974,0.23964686053342862,0.7735330447051347,1.0034030942226986,Medium
MT_228,5659.413725743934,7881.578947368423,0.7180558316469765,0.28482172772621056,0.7523110599145747,0.9748902108016341,Medium
MT_229,1080.8827933703544,1336.1669242658443,0.808942935003607,0.20314334184088004,0.8183782696564895,0.9734641411721908,Medium
MT_230,99.01233787644195,127.38228699551576,0.7772849758925076,0.2640750701668357,0.698074646875043,0.9925280366672299,Medium
MT_231,663.9460199767011,904.3493150684928,0.7341698709932851,0.2905828570798177,0.6936219791986563,1.019613824164973,Medium
MT_232,102.5657156667127,146.234970477724,0.7013761163396723,0.3629679048857059,0.6148253767542513,0.9979372751555253,Medium
MT_233,136.82761544311018,200.86638954869352,0.6811872098190961,0.38775394123396284,0.5397595251306523,1.007587565659722,Medium
MT_234,85.09287341996892,120.38179501698747,0.7068583202963636,0.3301550118757164,0.6457223930292257,0.9851672835412125,Medium
MT_235,878.7854776613844,1302.4595588235286,0.6747122946797397,0.37279920496171853,0.5646100029041065,1.0111953458583014,Medium
MT_236,139.3254087120909,196.753699376947,0.7081209103223358,0.2899545757883485,0.6938896009992572,1.0031970213129842,Medium
MT_237,84.66922118976913,112.36143250688723,0.7535434472551719,0.26920973140629034,0.7008160519687118,0.9922410979188507,Medium
MT_238,432.72503000234167,588.5187500000001,0.7352782388026577,0.26859306838711167,0.7120032670479848,0.9968711025180339,Medium
