,actual,forecast,lower_95,upper_95,abs_error
2011-04-22 15:00:00,45898.54166666667,45755.46625436316,40975.46533887682,50535.46716984949,143.0754123035149
2011-04-22 16:00:00,46065.20833333333,46668.166466745155,40791.96505239891,52544.3678810914,602.9581334118266
2011-04-22 17:00:00,45355.62500000003,46132.729767046156,40065.451672262,52200.00786183031,777.1047670461267
2011-04-22 18:00:00,44067.70833333333,43446.121692347064,37161.67068689024,49730.57269780389,621.5866409862647
2011-04-22 19:00:00,43983.125,44335.62865148626,37738.2798690371,50932.97743393542,352.5036514862586
2011-04-22 20:00:00,43338.54166666665,44824.97088162218,37928.53280630933,51721.40895693503,1486.429214955533
2011-04-22 21:00:00,43411.04166666667,44423.11414621273,37259.275442989885,51586.95284943557,1012.0724795460555
2011-04-22 22:00:00,42276.04166666665,42308.425800829165,34888.129694098425,49728.721907559906,32.38413416251569
2011-04-22 23:00:00,36701.45833333335,36523.542465178354,28852.09819889416,44194.986731462544,177.91586815499613
2011-04-23 00:00:00,26799.375,22737.7901284463,14822.710685202845,30652.869571689756,4061.5848715536995
2011-04-23 01:00:00,23247.291666666675,18123.864066566748,9972.981494590244,26274.746638543253,5123.427600099927
2011-04-23 02:00:00,21798.958333333318,16767.45568929109,8387.520276501496,25147.391102080685,5031.502644042226
2011-04-23 03:00:00,21027.499999999975,15836.324974461837,7233.341774294004,24439.30817462967,5191.175025538138
2011-04-23 04:00:00,21725.624999999964,18966.420656028,10146.000947609451,27786.84036444655,2759.2043439719637
2011-04-23 05:00:00,26964.79166666665,21995.855654952844,12963.246778636043,31028.464531269645,4968.936011713806
2011-04-23 06:00:00,30132.708333333332,28477.78599882868,19237.86537787384,37717.70661978352,1654.922334504652
2011-04-23 07:00:00,36305.20833333333,28707.097254424472,19264.413014374557,38149.78149447439,7598.111078908856
2011-04-23 08:00:00,37297.70833333335,32893.987575141946,23252.8018673135,42535.17328297039,4403.7207581914045
2011-04-23 09:00:00,44970.8333333333,38472.489270771446,28636.8077183591,48308.17082318379,6498.344062561853
2011-04-23 10:00:00,46982.29166666667,37363.61525230954,27337.210291731324,47390.02021288775,9618.676414357134
2011-04-23 11:00:00,48437.91666666667,38728.63813058837,28515.070578040984,48942.205683135755,9709.278536078302
2011-04-23 12:00:00,48710.20833333335,37967.801578964194,27570.439949272637,48365.16320865575,10742.406754369156
2011-04-23 13:00:00,49577.9166666667,40381.55142025581,29803.588692616817,50959.514147894806,9196.365246410889
2011-04-23 14:00:00,47219.79166666667,39149.04170019565,28393.510012661154,49904.57338773015,8070.749966471019
